#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:02Z,-0.051,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:03Z,-0.054,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:04Z,-0.011,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:05Z,-0.029,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:06Z,-0.045,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:07Z,-0.06,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:08Z,-0.044,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:09Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:10Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:11Z,-0.057,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:12Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:13Z,-0.063,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:14Z,-0.062,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:15Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:16Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:17Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:18Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:19Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:20Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:21Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:22Z,-0.045,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:23Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:24Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:25Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:26Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:27Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:28Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:29Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:30Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:31Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:32Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:33Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:34Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:35Z,-0.046,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:36Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:37Z,-0.047,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:53:38Z,-0.046,X,sensor_data
