#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:33:12.110789166Z,-0.012,0.034,0.986
,,0,2026-08-22T20:33:13.115503498Z,-0.007,0.027,0.995
,,0,2026-08-22T20:33:14.118871487Z,-0.007,0.047,0.972
,,0,2026-08-22T20:33:15.123927079Z,-0.021,0.053,0.967
,,0,2026-08-22T20:33:16.130220431Z,0.004,0.02,0.997
,,0,2026-08-22T20:33:17.13501948Z,-0.007,0.04,0.985
,,0,2026-08-22T20:33:18.140641536Z,-0.008,0.046,0.971
,,0,2026-08-22T20:33:19.143079616Z,-0.009,0.036,0.985
,,0,2026-08-22T20:33:20.147576977Z,0.002,0.021,1
,,0,2026-08-22T20:33:21.153302523Z,-0.008,0.036,0.985
,,0,2026-08-22T20:33:22.159355198Z,-0.005,0.042,0.974
,,0,2026-08-22T20:33:23.162985159Z,-0.005,0.036,0.985
,,0,2026-08-22T20:33:24.168665606Z,-0.007,0.036,0.986
,,0,2026-08-22T20:33:25.17428578Z,-0.003,0.023,0.986
,,0,2026-08-22T20:33:26.178107637Z,0.003,0.035,0.987
,,0,2026-08-22T20:33:27.184038813Z,-0.006,0.034,0.981
,,0,2026-08-22T20:33:28.188745217Z,-0.008,0.036,0.983
,,0,2026-08-22T20:33:29.195304574Z,0.005,0.034,0.99
,,0,2026-08-22T20:33:30.200217056Z,-0.009,0.037,0.987
,,0,2026-08-22T20:33:31.204852528Z,-0.008,0.034,0.984
,,0,2026-08-22T20:33:32.211249638Z,0.001,0.047,0.977
,,0,2026-08-22T20:33:33.214955782Z,-0.002,0.034,0.984
,,0,2026-08-22T20:33:34.220807354Z,-0.004,0.033,0.984
,,0,2026-08-22T20:33:35.224785647Z,-0.001,0.047,0.977
,,0,2026-08-22T20:33:36.234716654Z,-0.01,0.05,0.971
,,0,2026-08-22T20:33:37.22875113Z,-0.011,0.018,1
,,0,2026-08-22T20:33:38.232574492Z,-0.01,0.036,0.988
,,0,2026-08-22T20:33:39.234561131Z,-0.008,0.036,0.985
,,0,2026-08-22T20:33:40.247069681Z,-0.007,0.037,0.986
,,0,2026-08-22T20:33:41.24976574Z,0,0.05,0.974
,,0,2026-08-22T20:33:42.25123499Z,-0.011,0.036,0.987
,,0,2026-08-22T20:33:43.253565007Z,-0.01,0.036,0.988
,,0,2026-08-22T20:33:44.259058583Z,-0.008,0.035,0.984
,,0,2026-08-22T20:33:45.259108628Z,-0.01,0.037,0.987
,,0,2026-08-22T20:33:46.270137021Z,-0.01,0.038,0.985
,,0,2026-08-22T20:33:47.267265587Z,-0.008,0.035,0.985
,,0,2026-08-22T20:33:48.271587086Z,-0.025,0.037,0.986
,,0,2026-08-22T20:33:49.272751532Z,0.008,0.037,0.977
,,0,2026-08-22T20:33:50.274823818Z,0.006,0.039,0.981
,,0,2026-08-22T20:33:51.280015812Z,-0.008,0.036,0.982
,,0,2026-08-22T20:33:52.289725063Z,-0.008,0.036,0.984
,,0,2026-08-22T20:33:53.294734381Z,-0.008,0.052,0.973
,,0,2026-08-22T20:33:54.300097641Z,0.002,0.056,0.977
,,0,2026-08-22T20:33:55.303668343Z,-0.008,0.04,0.985
,,0,2026-08-22T20:33:56.309106386Z,-0.011,0.033,0.983
,,0,2026-08-22T20:33:57.313551339Z,-0.008,0.036,0.988
,,0,2026-08-22T20:33:58.318149663Z,-0.008,0.058,0.981
,,0,2026-08-22T20:33:59.323946673Z,0.002,0.042,0.978
,,0,2026-08-22T20:34:00.33069504Z,-0.004,0.013,0.984
,,0,2026-08-22T20:34:01.339456041Z,-0.006,0.035,0.985

